a,b,d,C11,C22,C33,C12,anisotropy
0.700000,-1.000000,2.857143,0.000001,0.000001,0.000000,0.000000,0.992379
0.700000,-0.931034,2.666893,0.000001,0.000001,0.000000,0.000000,0.993239
0.700000,-0.862069,2.490233,0.000001,0.000001,0.000000,0.000000,0.994022
0.700000,-0.793103,2.327162,0.000001,0.000001,0.000000,0.000000,0.994737
0.700000,-0.724138,2.177680,0.000001,0.000001,0.000000,0.000000,0.995397
0.700000,-0.655172,2.041787,0.082696,0.272948,0.083753,0.067927,0.302972
0.700000,-0.586207,1.919484,0.100389,0.271497,0.082092,0.064970,0.369762
0.700000,-0.517241,1.810769,0.121331,0.271946,0.078421,0.060934,0.446158
0.700000,-0.448276,1.715645,0.145533,0.274363,0.072357,0.056022,0.530440
0.700000,-0.379310,1.634109,0.172621,0.278598,0.063692,0.050622,0.619606
0.700000,-0.310345,1.566163,0.201619,0.284206,0.052580,0.045278,0.709411
0.700000,-0.241379,1.511806,0.230673,0.298431,0.040312,0.040876,0.772951
0.700000,-0.172414,1.471038,0.257161,0.304472,0.027325,0.037323,0.844612
0.700000,-0.103448,1.443859,0.277760,0.309247,0.016486,0.035052,0.898181
0.700000,-0.034483,1.430270,0.289181,0.311952,0.010271,0.034011,0.927007
0.700000,0.034483,1.430270,0.289178,0.311945,0.010270,0.034008,0.927015
0.700000,0.103448,1.443859,0.277766,0.309259,0.016488,0.035055,0.898166
0.700000,0.172414,1.471038,0.257164,0.304477,0.027325,0.037324,0.844607
0.700000,0.241379,1.511806,0.230674,0.298434,0.040312,0.040877,0.772948
0.700000,0.310345,1.566163,0.201609,0.284178,0.052578,0.045276,0.709447
0.700000,0.379310,1.634109,0.172627,0.278611,0.063693,0.050621,0.619599
0.700000,0.448276,1.715645,0.145536,0.274373,0.072358,0.056021,0.530430
0.700000,0.517241,1.810769,0.121328,0.271933,0.078420,0.060935,0.446167
0.700000,0.586207,1.919484,0.100387,0.271487,0.082091,0.064972,0.369766
0.700000,0.655172,2.041787,0.082697,0.272950,0.083754,0.067926,0.302973
0.700000,0.724138,2.177680,0.000001,0.000001,0.000000,0.000000,0.995397
0.700000,0.793103,2.327162,0.000001,0.000001,0.000000,0.000000,0.994737
0.700000,0.862069,2.490233,0.000001,0.000001,0.000000,0.000000,0.994022
0.700000,0.931034,2.666893,0.000001,0.000001,0.000000,0.000000,0.993239
0.700000,1.000000,2.857143,0.000001,0.000001,0.000000,0.000000,0.992379
0.744828,-1.000000,2.685185,0.000001,0.000001,0.000000,0.000000,0.992708
0.744828,-0.931034,2.506386,0.000001,0.000001,0.000000,0.000000,0.993509
0.744828,-0.862069,2.340358,0.000001,0.000001,0.000000,0.000000,0.994246
0.744828,-0.793103,2.187101,0.064161,0.267420,0.085631,0.073219,0.239924
0.744828,-0.724138,2.046616,0.077080,0.263510,0.086054,0.071821,0.292511
0.744828,-0.655172,1.918902,0.092571,0.261182,0.085218,0.069335,0.354431
0.744828,-0.586207,1.803959,0.110899,0.260722,0.082772,0.065728,0.425352
0.744828,-0.517241,1.701788,0.132172,0.262303,0.078361,0.061104,0.503888
0.744828,-0.448276,1.612388,0.156268,0.265956,0.071712,0.055732,0.587570
0.744828,-0.379310,1.535760,0.182661,0.271422,0.062726,0.050061,0.672979
0.744828,-0.310345,1.471903,0.210312,0.278217,0.051661,0.044654,0.755925
0.744828,-0.241379,1.420817,0.237379,0.293414,0.039884,0.040369,0.809025
0.744828,-0.172414,1.382503,0.261631,0.300407,0.027611,0.037031,0.870922
0.744828,-0.103448,1.356960,0.280199,0.305893,0.017536,0.034988,0.916002
0.744828,-0.034483,1.344189,0.290392,0.308975,0.011820,0.034086,0.939854
0.744828,0.034483,1.344189,0.290388,0.308968,0.011819,0.034083,0.939864
0.744828,0.103448,1.356960,0.280199,0.305894,0.017536,0.034988,0.916002
0.744828,0.172414,1.382503,0.261635,0.300414,0.027611,0.037032,0.870915
