a,b,m,n1,n2,n3,Area
0.2,0.2,8,2,2,2,0.125789495639232
0.2,0.2,8,2.08040201005025,2.08040201005025,2.08040201005025,0.127662478869452
0.2,0.2,8,2.1608040201005,2.1608040201005,2.1608040201005,0.129389072987292
0.2,0.2,8,2.24120603015075,2.24120603015075,2.24120603015075,0.130983779042175
0.2,0.2,8,2.32160804020101,2.32160804020101,2.32160804020101,0.132459404682251
0.2,0.2,8,2.40201005025126,2.40201005025126,2.40201005025126,0.133827284915814
0.2,0.2,8,2.48241206030151,2.48241206030151,2.48241206030151,0.135097472459462
0.2,0.2,8,2.56281407035176,2.56281407035176,2.56281407035176,0.136278901744194
0.2,0.2,8,2.64321608040201,2.64321608040201,2.64321608040201,0.137379530235039
0.2,0.2,8,2.72361809045226,2.72361809045226,2.72361809045226,0.138406460280996
0.2,0.2,8,2.80402010050251,2.80402010050251,2.80402010050251,0.139366044289228
0.2,0.2,8,2.88442211055276,2.88442211055276,2.88442211055276,0.140263975629427
0.2,0.2,8,2.96482412060301,2.96482412060301,2.96482412060301,0.141105367328711
0.2,0.2,8,3.04522613065327,3.04522613065327,3.04522613065327,0.141894820315169
0.2,0.2,8,3.12562814070352,3.12562814070352,3.12562814070352,0.142636482707197
0.2,0.2,8,3.20603015075377,3.20603015075377,3.20603015075377,0.143334101422176
0.2,0.2,8,3.28643216080402,3.28643216080402,3.28643216080402,0.143991067187532
0.2,0.2,8,3.36683417085427,3.36683417085427,3.36683417085427,0.144610453875522
0.2,0.2,8,3.44723618090452,3.44723618090452,3.44723618090452,0.145195052946028
0.2,0.2,8,3.52763819095477,3.52763819095477,3.52763819095477,0.14574740366571
0.2,0.2,8,3.60804020100502,3.60804020100502,3.60804020100502,0.146269819673787
0.2,0.2,8,3.68844221105528,3.68844221105528,3.68844221105528,0.146764412381735
0.2,0.2,8,3.76884422110553,3.76884422110553,3.76884422110553,0.147233111623916
0.2,0.2,8,3.84924623115578,3.84924623115578,3.84924623115578,0.147677683916682
0.2,0.2,8,3.92964824120603,3.92964824120603,3.92964824120603,0.148099748632981
